day_of_year,month,day,west_clim_sst,east_clim_sst,clim_raw_contrast,baseline,source
1,1,1,28.896084021088768,25.47944879179818,-3.4166352292905877,1981-2010,cached NOAA/PSL sst.day.1981-2010.ltm.nc
2,1,2,28.888288145044054,25.495779419610646,-3.3925087254334088,1981-2010,cached NOAA/PSL sst.day.1981-2010.ltm.nc
3,1,3,28.880565222974436,25.512162844896313,-3.368402378078123,1981-2010,cached NOAA/PSL sst.day.1981-2010.ltm.nc
4,1,4,28.872805661474853,25.528493311158996,-3.3443123503158567,1981-2010,cached NOAA/PSL sst.day.1981-2010.ltm.nc
5,1,5,28.865119066424967,25.545141087291352,-3.319977979133615,1981-2010,cached NOAA/PSL sst.day.1981-2010.ltm.nc
6,1,6,28.85758930295102,25.561365915945686,-3.296223387005334,1981-2010,cached NOAA/PSL sst.day.1981-2010.ltm.nc
7,1,7,28.849805897348343,25.577974116230425,-3.2718317811179176,1981-2010,cached NOAA/PSL sst.day.1981-2010.ltm.nc
8,1,8,28.842070781478636,25.594185894590577,-3.247884886888059,1981-2010,cached NOAA/PSL sst.day.1981-2010.ltm.nc
9,1,9,28.83446850972605,25.610674937776132,-3.223793571949919,1981-2010,cached NOAA/PSL sst.day.1981-2010.ltm.nc
10,1,10,28.826672866655283,25.626952563913928,-3.1997203027413548,1981-2010,cached NOAA/PSL sst.day.1981-2010.ltm.nc
11,1,11,28.819010271520895,25.643468196573085,-3.17554207494781,1981-2010,cached NOAA/PSL sst.day.1981-2010.ltm.nc
12,1,12,28.811408263210797,25.65979871418174,-3.1516095490290574,1981-2010,cached NOAA/PSL sst.day.1981-2010.ltm.nc
13,1,13,28.803697162060455,25.67624824341945,-3.1274489186410044,1981-2010,cached NOAA/PSL sst.day.1981-2010.ltm.nc
14,1,14,28.795877206196508,25.692671280275686,-3.103205925920822,1981-2010,cached NOAA/PSL sst.day.1981-2010.ltm.nc
15,1,15,28.788335742194285,25.708962399735753,-3.0793733424585312,1981-2010,cached NOAA/PSL sst.day.1981-2010.ltm.nc
16,1,16,28.780648873125283,25.725477808885227,-3.0551710642400565,1981-2010,cached NOAA/PSL sst.day.1981-2010.ltm.nc
17,1,17,28.774304296306514,25.749760866657205,-3.0245434296493094,1981-2010,cached NOAA/PSL sst.day.1981-2010.ltm.nc
18,1,18,28.76803184072238,25.77388525344511,-2.994146587277271,1981-2010,cached NOAA/PSL sst.day.1981-2010.ltm.nc
19,1,19,28.761880718741565,25.798247514761236,-2.9636332039803293,1981-2010,cached NOAA/PSL sst.day.1981-2010.ltm.nc
20,1,20,28.755426868366097,25.822411680798226,-2.9330151875678716,1981-2010,cached NOAA/PSL sst.day.1981-2010.ltm.nc
21,1,21,28.748997442791442,25.846575912706598,-2.902421530084844,1981-2010,cached NOAA/PSL sst.day.1981-2010.ltm.nc
22,1,22,28.7429554528779,25.871083691189234,-2.8718717616886664,1981-2010,cached NOAA/PSL sst.day.1981-2010.ltm.nc
23,1,23,28.736465110710846,25.895115493655833,-2.8413496170550125,1981-2010,cached NOAA/PSL sst.day.1981-2010.ltm.nc
24,1,24,28.730192776124035,25.919332356399934,-2.8108604197241007,1981-2010,cached NOAA/PSL sst.day.1981-2010.ltm.nc
25,1,25,28.723944747248822,25.943708104598713,-2.7802366426501095,1981-2010,cached NOAA/PSL sst.day.1981-2010.ltm.nc
26,1,26,28.71737023539928,25.968004285241253,-2.749365950158026,1981-2010,cached NOAA/PSL sst.day.1981-2010.ltm.nc
27,1,27,28.711291731566508,25.99208897777277,-2.7192027537937378,1981-2010,cached NOAA/PSL sst.day.1981-2010.ltm.nc
28,1,28,28.705140480434707,26.01622686694836,-2.6889136134863456,1981-2010,cached NOAA/PSL sst.day.1981-2010.ltm.nc
29,1,29,28.698614156798875,26.040298595181522,-2.6583155616173535,1981-2010,cached NOAA/PSL sst.day.1981-2010.ltm.nc
30,1,30,28.692450953169242,26.064819428472617,-2.627631524696625,1981-2010,cached NOAA/PSL sst.day.1981-2010.ltm.nc
31,1,31,28.686239325191725,26.08912869711593,-2.597110628075793,1981-2010,cached NOAA/PSL sst.day.1981-2010.ltm.nc
32,2,1,28.67965203651592,26.113372117612553,-2.566279918903369,1981-2010,cached NOAA/PSL sst.day.1981-2010.ltm.nc
33,2,2,28.673525398926774,26.137615761192126,-2.5359096377346475,1981-2010,cached NOAA/PSL sst.day.1981-2010.ltm.nc
34,2,3,28.667168382948976,26.161621235404375,-2.5055471475446005,1981-2010,cached NOAA/PSL sst.day.1981-2010.ltm.nc
35,2,4,28.660641872879598,26.18597037506539,-2.4746714978142066,1981-2010,cached NOAA/PSL sst.day.1981-2010.ltm.nc
36,2,5,28.654490849622896,26.210173995136156,-2.4443168544867397,1981-2010,cached NOAA/PSL sst.day.1981-2010.ltm.nc
37,2,6,28.6483759495625,26.23439109838994,-2.413984851172561,1981-2010,cached NOAA/PSL sst.day.1981-2010.ltm.nc
38,2,7,28.64198285705306,26.25866094479626,-2.383321912256797,1981-2010,cached NOAA/PSL sst.day.1981-2010.ltm.nc
39,2,8,28.635419893579744,26.283208187286004,-2.3522117062937404,1981-2010,cached NOAA/PSL sst.day.1981-2010.ltm.nc
40,2,9,28.629547356134815,26.30714789744665,-2.3223994586881638,1981-2010,cached NOAA/PSL sst.day.1981-2010.ltm.nc
41,2,10,28.622911982124442,26.331483399815788,-2.2914285823086544,1981-2010,cached NOAA/PSL sst.day.1981-2010.ltm.nc
42,2,11,28.616736737554234,26.35568741647122,-2.2610493210830143,1981-2010,cached NOAA/PSL sst.day.1981-2010.ltm.nc
43,2,12,28.610416141372628,26.37991760089484,-2.2304985404777895,1981-2010,cached NOAA/PSL sst.day.1981-2010.ltm.nc
44,2,13,28.60401074349171,26.404319758845283,-2.199690984646427,1981-2010,cached NOAA/PSL sst.day.1981-2010.ltm.nc
45,2,14,28.59766603565649,26.42835157293208,-2.1693144627244116,1981-2010,cached NOAA/PSL sst.day.1981-2010.ltm.nc
46,2,15,28.59639393299629,26.45168151305,-2.1447124199462877,1981-2010,cached NOAA/PSL sst.day.1981-2010.ltm.nc
47,2,16,28.599613674111406,26.47408488965635,-2.1255287844550566,1981-2010,cached NOAA/PSL sst.day.1981-2010.ltm.nc
48,2,17,28.603099595804085,26.496461859533053,-2.1066377362710327,1981-2010,cached NOAA/PSL sst.day.1981-2010.ltm.nc
49,2,18,28.606101553221908,26.51875957600932,-2.0873419772125885,1981-2010,cached NOAA/PSL sst.day.1981-2010.ltm.nc
50,2,19,28.609684543685688,26.54138726348676,-2.0682972801989266,1981-2010,cached NOAA/PSL sst.day.1981-2010.ltm.nc
51,2,20,28.613121910846885,26.563658624512136,-2.049463286334749,1981-2010,cached NOAA/PSL sst.day.1981-2010.ltm.nc
52,2,21,28.61639010315486,26.586194232273165,-2.0301958708816947,1981-2010,cached NOAA/PSL sst.day.1981-2010.ltm.nc
53,2,22,28.619839987014107,26.60858431389105,-2.011255673123056,1981-2010,cached NOAA/PSL sst.day.1981-2010.ltm.nc
54,2,23,28.62309589288019,26.63082914937267,-1.9922667435075212,1981-2010,cached NOAA/PSL sst.day.1981-2010.ltm.nc
55,2,24,28.62635210641612,26.653206236517228,-1.973145869898893,1981-2010,cached NOAA/PSL sst.day.1981-2010.ltm.nc
56,2,25,28.62988660418229,26.675741661526196,-1.954144942656093,1981-2010,cached NOAA/PSL sst.day.1981-2010.ltm.nc
57,2,26,28.63302138079859,26.698237200475557,-1.9347841803230317,1981-2010,cached NOAA/PSL sst.day.1981-2010.ltm.nc
58,2,27,28.636495213372818,26.720284048749974,-1.916211164622844,1981-2010,cached NOAA/PSL sst.day.1981-2010.ltm.nc
59,2,28,28.639787626660215,26.742898827954654,-1.896888798705561,1981-2010,cached NOAA/PSL sst.day.1981-2010.ltm.nc
60,3,1,28.64300744627009,26.765223191194742,-1.8777842550753476,1981-2010,cached NOAA/PSL sst.day.1981-2010.ltm.nc
61,3,2,28.646360294542447,26.787599883250564,-1.8587604112918825,1981-2010,cached NOAA/PSL sst.day.1981-2010.ltm.nc
62,3,3,28.64964051548364,26.810148609766586,-1.839491905717054,1981-2010,cached NOAA/PSL sst.day.1981-2010.ltm.nc
63,3,4,28.65296907908093,26.832300903333405,-1.8206681757475245,1981-2010,cached NOAA/PSL sst.day.1981-2010.ltm.nc
64,3,5,28.656467512770494,26.854625124171644,-1.8018423885988497,1981-2010,cached NOAA/PSL sst.day.1981-2010.ltm.nc
65,3,6,28.65984440065405,26.87709443456856,-1.7827499660854897,1981-2010,cached NOAA/PSL sst.day.1981-2010.ltm.nc
66,3,7,28.66305209484766,26.899630029182124,-1.7634220656655373,1981-2010,cached NOAA/PSL sst.day.1981-2010.ltm.nc
67,3,8,28.666622862495508,26.921927666642855,-1.7446951958526533,1981-2010,cached NOAA/PSL sst.day.1981-2010.ltm.nc
68,3,9,28.66984264749276,26.944489648388274,-1.7253529991044871,1981-2010,cached NOAA/PSL sst.day.1981-2010.ltm.nc
69,3,10,28.67320749755461,26.966959251323765,-1.706248246230846,1981-2010,cached NOAA/PSL sst.day.1981-2010.ltm.nc
70,3,11,28.676633274862702,26.989283096583158,-1.6873501782795444,1981-2010,cached NOAA/PSL sst.day.1981-2010.ltm.nc
71,3,12,28.679913495289323,27.011673267808558,-1.6682402274807657,1981-2010,cached NOAA/PSL sst.day.1981-2010.ltm.nc
72,3,13,28.683024033856128,27.03397112977996,-1.649052904076168,1981-2010,cached NOAA/PSL sst.day.1981-2010.ltm.nc
73,3,14,28.686449543154353,27.056347903833466,-1.6301016393208876,1981-2010,cached NOAA/PSL sst.day.1981-2010.ltm.nc
74,3,15,28.6897056912146,27.07893593642201,-1.6107697547925888,1981-2010,cached NOAA/PSL sst.day.1981-2010.ltm.nc
75,3,16,28.693264355999982,27.101352918175582,-1.5919114378244004,1981-2010,cached NOAA/PSL sst.day.1981-2010.ltm.nc
76,3,17,28.702768825303394,27.10957974501493,-1.5931890802884645,1981-2010,cached NOAA/PSL sst.day.1981-2010.ltm.nc
77,3,18,28.712842329004292,27.118018400682814,-1.5948239283214782,1981-2010,cached NOAA/PSL sst.day.1981-2010.ltm.nc
78,3,19,28.722540524928775,27.126377261345226,-1.5961632635835485,1981-2010,cached NOAA/PSL sst.day.1981-2010.ltm.nc
79,3,20,28.732408044184556,27.134313819790087,-1.598094224394469,1981-2010,cached NOAA/PSL sst.day.1981-2010.ltm.nc
80,3,21,28.742215250709208,27.14276533909041,-1.5994499116187981,1981-2010,cached NOAA/PSL sst.day.1981-2010.ltm.nc
81,3,22,28.751949633006546,27.151283157215545,-1.6006664757910016,1981-2010,cached NOAA/PSL sst.day.1981-2010.ltm.nc
82,3,23,28.76169633718674,27.159311997939195,-1.6023843392475463,1981-2010,cached NOAA/PSL sst.day.1981-2010.ltm.nc
83,3,24,28.771624425675824,27.16763142554298,-1.6039930001328457,1981-2010,cached NOAA/PSL sst.day.1981-2010.ltm.nc
84,3,25,28.781697958513018,27.176096145751956,-1.605601812761062,1981-2010,cached NOAA/PSL sst.day.1981-2010.ltm.nc
85,3,26,28.791190265951357,27.184191089322894,-1.606999176628463,1981-2010,cached NOAA/PSL sst.day.1981-2010.ltm.nc
86,3,27,28.80104575331735,27.19252372239412,-1.608522030923229,1981-2010,cached NOAA/PSL sst.day.1981-2010.ltm.nc
87,3,28,28.810901214463904,27.20090925302826,-1.609991961435643,1981-2010,cached NOAA/PSL sst.day.1981-2010.ltm.nc
88,3,29,28.820623687184693,27.209373995333888,-1.611249691850805,1981-2010,cached NOAA/PSL sst.day.1981-2010.ltm.nc
89,3,30,28.830503324532753,27.217403149657933,-1.6131001748748197,1981-2010,cached NOAA/PSL sst.day.1981-2010.ltm.nc
90,3,31,28.840298701820224,27.22590763246669,-1.614391069353534,1981-2010,cached NOAA/PSL sst.day.1981-2010.ltm.nc
91,4,1,28.850141982173234,27.234081634275302,-1.6160603478979318,1981-2010,cached NOAA/PSL sst.day.1981-2010.ltm.nc
92,4,2,28.8598645189601,27.242467074214954,-1.6173974447451478,1981-2010,cached NOAA/PSL sst.day.1981-2010.ltm.nc
93,4,3,28.869538268717434,27.25080017445783,-1.618738094259605,1981-2010,cached NOAA/PSL sst.day.1981-2010.ltm.nc
94,4,4,28.879430109565558,27.25914585078229,-1.6202842587832684,1981-2010,cached NOAA/PSL sst.day.1981-2010.ltm.nc
95,4,5,28.889455028750554,27.267465167677578,-1.6219898610729757,1981-2010,cached NOAA/PSL sst.day.1981-2010.ltm.nc
96,4,6,28.899153314126472,27.275811077665956,-1.6233422364605161,1981-2010,cached NOAA/PSL sst.day.1981-2010.ltm.nc
97,4,7,28.909045436863888,27.284091078927798,-1.6249543579360903,1981-2010,cached NOAA/PSL sst.day.1981-2010.ltm.nc
98,4,8,28.918646495146906,27.29238418240068,-1.6262623127462241,1981-2010,cached NOAA/PSL sst.day.1981-2010.ltm.nc
99,4,9,28.928768292254357,27.300399641565495,-1.6283686506888628,1981-2010,cached NOAA/PSL sst.day.1981-2010.ltm.nc
100,4,10,28.938406114519164,27.309076029979998,-1.6293300845391663,1981-2010,cached NOAA/PSL sst.day.1981-2010.ltm.nc
101,4,11,28.948273664669532,27.317369337856324,-1.6309043268132086,1981-2010,cached NOAA/PSL sst.day.1981-2010.ltm.nc
102,4,12,28.958104916465018,27.325583142567925,-1.6325217738970927,1981-2010,cached NOAA/PSL sst.day.1981-2010.ltm.nc
103,4,13,28.96781522538008,27.333849632420208,-1.6339655929598713,1981-2010,cached NOAA/PSL sst.day.1981-2010.ltm.nc
104,4,14,28.977779812493555,27.342195609842577,-1.6355842026509784,1981-2010,cached NOAA/PSL sst.day.1981-2010.ltm.nc
105,4,15,28.987429371823996,27.350382767037367,-1.6370466047866294,1981-2010,cached NOAA/PSL sst.day.1981-2010.ltm.nc
106,4,16,28.995517703077695,27.34829289568325,-1.6472248073944442,1981-2010,cached NOAA/PSL sst.day.1981-2010.ltm.nc
107,4,17,29.002008176210378,27.334882043999833,-1.6671261322105444,1981-2010,cached NOAA/PSL sst.day.1981-2010.ltm.nc
108,4,18,29.008583153997364,27.32189393027609,-1.6866892237212738,1981-2010,cached NOAA/PSL sst.day.1981-2010.ltm.nc
109,4,19,29.015231112443047,27.30868112364713,-1.706549988795917,1981-2010,cached NOAA/PSL sst.day.1981-2010.ltm.nc
110,4,20,29.02189101639185,27.29538924030895,-1.7265017760829018,1981-2010,cached NOAA/PSL sst.day.1981-2010.ltm.nc
111,4,21,29.028236119083893,27.282361308684433,-1.7458748103994601,1981-2010,cached NOAA/PSL sst.day.1981-2010.ltm.nc
112,4,22,29.035028971921694,27.269320196723566,-1.765708775198128,1981-2010,cached NOAA/PSL sst.day.1981-2010.ltm.nc
113,4,23,29.041168236405387,27.256134000751743,-1.7850342356536437,1981-2010,cached NOAA/PSL sst.day.1981-2010.ltm.nc
114,4,24,29.04780414640994,27.242947770052368,-1.8048563763575736,1981-2010,cached NOAA/PSL sst.day.1981-2010.ltm.nc
115,4,25,29.054403459514823,27.229761298652416,-1.8246421608624068,1981-2010,cached NOAA/PSL sst.day.1981-2010.ltm.nc
116,4,26,29.060966223184167,27.216390184411242,-1.8445760387729244,1981-2010,cached NOAA/PSL sst.day.1981-2010.ltm.nc
117,4,27,29.067650544694043,27.20348119284376,-1.8641693518502827,1981-2010,cached NOAA/PSL sst.day.1981-2010.ltm.nc
